user_id,movie_id,rating,timestamp
1,1,5.0,2024-01-01
1,2,4.5,2024-01-02
1,4,4.0,2024-01-03
1,8,3.5,2024-01-04
1,21,5.0,2024-01-05
1,3,4.5,2024-01-06
1,39,5.0,2024-01-07
1,40,4.0,2024-01-08
1,42,4.5,2024-01-09
1,50,5.0,2024-01-10
2,1,4.0,2024-01-01
2,3,5.0,2024-01-02
2,5,4.5,2024-01-03
2,6,3.0,2024-01-04
2,19,4.0,2024-01-05
2,29,5.0,2024-01-06
2,32,4.5,2024-01-07
2,33,4.0,2024-01-08
2,39,5.0,2024-01-09
2,43,4.5,2024-01-10
3,2,5.0,2024-01-01
3,3,4.5,2024-01-02
3,7,4.0,2024-01-03
3,9,5.0,2024-01-04
3,20,5.0,2024-01-05
3,17,4.5,2024-01-06
3,31,5.0,2024-01-07
3,36,4.0,2024-01-08
3,37,4.5,2024-01-09
3,38,5.0,2024-01-10
4,4,4.0,2024-01-01
4,5,5.0,2024-01-02
4,10,3.5,2024-01-03
4,11,4.5,2024-01-04
4,15,4.5,2024-01-05
4,19,4.0,2024-01-06
4,27,5.0,2024-01-07
4,28,4.5,2024-01-08
4,48,4.0,2024-01-09
4,49,4.5,2024-01-10
5,6,5.0,2024-01-01
5,7,4.5,2024-01-02
5,10,5.0,2024-01-03
5,13,4.0,2024-01-04
5,22,5.0,2024-01-05
5,23,4.5,2024-01-06
5,26,4.0,2024-01-07
5,30,4.5,2024-01-08
5,47,5.0,2024-01-09
5,44,4.0,2024-01-10
6,8,5.0,2024-01-01
6,9,5.0,2024-01-02
6,14,4.5,2024-01-03
6,1,4.0,2024-01-04
6,16,5.0,2024-01-05
6,17,4.5,2024-01-06
6,20,5.0,2024-01-07
6,35,4.0,2024-01-08
6,38,4.5,2024-01-09
6,41,5.0,2024-01-10
7,11,5.0,2024-01-01
7,12,4.5,2024-01-02
7,13,5.0,2024-01-03
7,15,4.0,2024-01-04
7,27,5.0,2024-01-05
7,28,4.5,2024-01-06
7,21,4.0,2024-01-07
7,47,4.5,2024-01-08
7,50,5.0,2024-01-09
7,48,4.0,2024-01-10
8,3,4.0,2024-01-01
8,5,4.5,2024-01-02
8,15,5.0,2024-01-03
8,2,4.0,2024-01-04
8,29,4.5,2024-01-05
8,30,5.0,2024-01-06
8,39,4.0,2024-01-07
8,40,4.5,2024-01-08
8,42,5.0,2024-01-09
8,43,4.0,2024-01-10
9,7,5.0,2024-01-01
9,9,4.5,2024-01-02
9,20,5.0,2024-01-03
9,18,4.0,2024-01-04
9,25,4.5,2024-01-05
9,26,4.0,2024-01-06
9,31,5.0,2024-01-07
9,32,4.5,2024-01-08
9,36,4.0,2024-01-09
9,37,4.5,2024-01-10
10,16,5.0,2024-01-01
10,14,4.5,2024-01-02
10,8,4.0,2024-01-03
10,24,4.5,2024-01-04
10,17,5.0,2024-01-05
10,6,4.0,2024-01-06
10,35,4.5,2024-01-07
10,38,5.0,2024-01-08
10,41,4.0,2024-01-09
10,47,4.5,2024-01-10
11,24,5.0,2024-01-01
11,35,4.5,2024-01-02
11,19,4.0,2024-01-03
11,36,4.5,2024-01-04
11,38,5.0,2024-01-05
11,48,4.0,2024-01-06
12,1,4.5,2024-01-01
12,4,5.0,2024-01-02
12,9,4.0,2024-01-03
12,14,4.5,2024-01-04
12,17,5.0,2024-01-05
12,20,4.0,2024-01-06
12,31,4.5,2024-01-07
12,33,4.0,2024-01-08
13,6,5.0,2024-01-01
13,10,4.5,2024-01-02
13,22,4.0,2024-01-03
13,23,4.5,2024-01-04
13,26,5.0,2024-01-05
13,30,4.0,2024-01-06
14,2,4.5,2024-01-01
14,5,5.0,2024-01-02
14,11,4.0,2024-01-03
14,13,4.5,2024-01-04
14,27,4.5,2024-01-05
14,29,5.0,2024-01-06
14,44,4.0,2024-01-07
14,50,4.5,2024-01-08
15,12,5.0,2024-01-01
15,13,4.5,2024-01-02
15,21,4.0,2024-01-03
15,28,4.5,2024-01-04
15,48,5.0,2024-01-05
15,49,4.0,2024-01-06
16,18,4.5,2024-01-01
16,20,5.0,2024-01-02
16,25,4.0,2024-01-03
16,26,4.5,2024-01-04
16,31,5.0,2024-01-05
16,32,4.0,2024-01-06
17,3,5.0,2024-01-01
17,4,4.5,2024-01-02
17,6,4.0,2024-01-03
17,10,4.5,2024-01-04
17,23,5.0,2024-01-05
17,47,4.0,2024-01-06
18,2,4.5,2024-01-01
18,5,5.0,2024-01-02
18,15,4.0,2024-01-03
18,29,4.5,2024-01-04
18,39,5.0,2024-01-05
18,50,4.0,2024-01-06
19,8,5.0,2024-01-01
19,16,4.5,2024-01-02
19,17,4.0,2024-01-03
19,24,4.5,2024-01-04
19,35,5.0,2024-01-05
19,38,4.0,2024-01-06
20,7,4.5,2024-01-01
20,9,5.0,2024-01-02
20,18,4.0,2024-01-03
20,20,4.5,2024-01-04
20,32,5.0,2024-01-05
20,33,4.0,2024-01-06
21,19,4.5,2024-01-01
21,27,5.0,2024-01-02
21,36,4.0,2024-01-03
21,38,4.5,2024-01-04
22,1,5.0,2024-01-01
22,3,4.5,2024-01-02
22,22,4.0,2024-01-03
22,25,4.5,2024-01-04
22,30,5.0,2024-01-05
23,6,4.5,2024-01-01
23,10,5.0,2024-01-02
23,26,4.0,2024-01-03
23,31,4.5,2024-01-04
24,2,5.0,2024-01-01
24,5,4.5,2024-01-02
24,14,4.0,2024-01-03
24,21,4.5,2024-01-04
24,39,5.0,2024-01-05
25,11,4.5,2024-01-01
25,15,5.0,2024-01-02
25,28,4.0,2024-01-03
25,40,4.5,2024-01-04
26,7,5.0,2024-01-01
26,22,4.5,2024-01-02
26,23,4.0,2024-01-03
26,30,4.5,2024-01-04
27,8,4.5,2024-01-01
27,20,5.0,2024-01-02
27,25,4.0,2024-01-03
27,32,4.5,2024-01-04
28,12,5.0,2024-01-01
28,27,4.5,2024-01-02
28,28,4.0,2024-01-03
28,48,4.5,2024-01-04
29,1,4.5,2024-01-01
29,4,5.0,2024-01-02
29,17,4.0,2024-01-03
29,35,4.5,2024-01-04
30,9,5.0,2024-01-01
30,18,4.5,2024-01-02
30,31,4.0,2024-01-03
30,32,4.5,2024-01-04
